case_id,duration_seconds,teaching_experience,gender,age_group,first_submission_mastery,rubric_clear_aligned,feedback_specific_relevant,feedback_helped_improve,feedback_timely,overall_feedback_quality,most_valuable_text,improvement_text,prior_ai_experience,ai_awareness,ai_comfort,ai_as_useful_as_human,preferred_feedback_model,additional_ai_comments,duration_minutes,duration_flag,rubric_clear_aligned_num,feedback_specific_relevant_num,feedback_helped_improve_num,feedback_timely_num,feedback_experience,feedback_experience_3item,feedback_experience_maximum,feedback_experience_3item_maximum
L013,299,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Specific guidelines from my evaluator and her feedback.,N/A,Some experience,"Yes, fully aware",Somewhat agree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,4.983333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L014,358,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"El aspecto más valioso fue la claridad de la retroalimentación, ya que permitió entender exactamente qué se hizo bien y en qué se podía mejorar. Esto facilitó el aprendizaje y ayudó a aplicar mejor los conceptos en la práctica.","Sería útil recibir la retroalimentación de manera más detallada y, si es posible, con ejemplos específicos. También ayudaría que se entregue más rápido, para poder aplicar las mejoras en las siguientes actividades.",Extensive experience,Not aware at all,Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"En general, mi experiencia ha sido positiva. La IA ha sido una herramienta útil para reforzar el aprendizaje, aclarar dudas y mejorar la comprensión de los temas. Me gustaría que se siga integrando de manera práctica en las actividades, con más ejemplos aplicados y orientación sobre su uso adecuado para aprovecharla al máximo.",5.966666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L015,121,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It was done in a timely manner and on one of my assignments I was able to go back and fix it.,none at the moment,No experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"no, not at the moment",2.0166666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L016,102,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,New ideas on how to extend curriculum,NA,Some experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.7,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L017,76,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,1.2666666666666666,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L018,380,4-10 years,Female,31-40,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Everything,Yes,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,6.333333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L019,87639,0-3 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The grading response time was on time, and the comments were specific and easy to understand.",I would not make any changes.,No experience,"Yes, fully aware",Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,1460.65,Over 1 hour,5,5,5,5,5,5,TRUE,TRUE
L020,260,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,NA,NA,No experience,"Yes, fully aware",Strongly agree,Somewhat agree,I have no preference.,No,4.333333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L021,378,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Seeing what else I can do to better my work,N/A,Some experience,Not aware at all,Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I love the work of AI and how much it can help us in this society. I don’t want more work on an instructor, but it becomes very infuriating when you get an automatic 0 for an assignment that you worked hard on but the AI system that checks your work you guys use have said it’s AI work. So then I have to go through the hassle of begging for the instructor to review my work and asking for a way to prove that I’ve worked for so long on, and wait for their response and then get not nice responses back saying they will accept it this one time. That’s when I don’t like AI & I wish students didn’t even have it. Now we have robots looking at work and telling instructors it’s the robots work. Based off of what?",6.3,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L022,125,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.0833333333333335,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L023,139,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,That it gave us information to make changes and think differently,I think it was good,No experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,I have no preference.,Im not familiar with it but I will look into it.,2.316666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L024,224,20+ years,Female,50+,"No, I didn't.",Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Good,NA,NA,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,3.7333333333333334,Not flagged,4,4,5,4,4.25,4.333333333333333,FALSE,FALSE
L025,68,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Na,Na,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Na,1.1333333333333333,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L026,484,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Professional feedback,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,8.066666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L027,525,20+ years,Female,41-50,"Yes, I did.",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Good,I think even though the micro credentials is kind of hard work and very long the feed back makes you realize where are strong points and the weak ones. And how can I improve much more in different settings,"Yes , no one would like to be returned and graded again in my case I had to give more information in some areas that needed more explanation",Minimal experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,I think AI can be helpful in certain areas but depending too much on it does not help us to be critical thinkers. I prefer the old way to be valued in work not artificial intelligence,8.75,Not flagged,4,4,5,5,4.5,4.666666666666667,FALSE,FALSE
L028,67,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,1.1166666666666667,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L029,150,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It was concise and highlighted what was mastered and gave suggestions to make it even better.,NA,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,2.5,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L030,283,20+ years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Excellent,The feedback provided was specific to my assignment but didn't really go into detail about how to improve or enhance the lesson.,More detailed explanations of how to implement changes or improvements.,Some experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I think AI needs to be introduced more slowly into education, especially at the Preschool level. I see many young and newer teachers using AI to create lessons, but they don't have the experience to know when the information they are getting is incomplete or wrong. I also see parents use it to get answers to questions that are better answered by teachers, who interact with their children every day.",4.716666666666667,Not flagged,5,5,4,4,4.5,4.333333333333333,FALSE,FALSE
L031,319,20+ years,Female,41-50,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I liked how the instructor provided explicit feedback on elements that may have been overlooked.,N/A,No experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,N/A,5.316666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L032,184,20+ years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It was very clear.,None,No experience,"Yes, fully aware",Strongly agree,Strongly disagree,I have no preference.,AI model was very detailed with my response. I thought that was really cool. It pulled from my examples.,3.066666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L033,166,4-10 years,Female,50+,"Yes, I did.",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Being on time and including detail,None,No experience,Not aware at all,Neither agree nor disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,2.7666666666666666,Not flagged,4,5,5,5,4.75,4.666666666666667,FALSE,FALSE
L034,247,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"I received very clear feedback, that allowed me to further the assignment within my classroom.",N/A,No experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,N/A,4.116666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L035,138,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Na,Na,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Na,2.3,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L036,178,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,The personalized feedback with specific information about your progress and tips on how to improve,NA,Minimal experience,"Yes, fully aware",Strongly agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,2.966666666666667,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L037,248,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect of the grading and feedback process was receiving specific and constructive feedback that helped me reflect on my work and deepen my understanding of the concepts. The comments provided clear guidance on my strengths as well as areas for growth, making the learning process meaningful and encouraging continuous improvement.","Overall, I found the grading and feedback process helpful and supportive. One improvement could be providing examples or additional explanations for areas that need revision, as this would further enhance understanding and application of the concepts. Otherwise, the feedback was clear, timely, and valuable for my professional growth.",Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,"This experience has helped me see AI as a valuable support tool for both educators and learners. It has encouraged deeper reflection, creativity, and efficiency while allowing me to focus more on what truly matters: observing, guiding, and connecting with children. While AI offers many possibilities, I believe the heart of education will always remain human relationships, curiosity, and the joy of learning. Used thoughtfully, AI can help us become better educators while preserving those essential values.",4.133333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L038,191,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Explanation,None,No experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,I have no preference.,No,3.183333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L039,114,11-20 years,Female,31-40,"Yes, I did.",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Good,NA,NA,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.9,1 to under 2 minutes,4,5,4,4,4.25,4,FALSE,FALSE
L040,414,0-3 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The instructor explained,Yes,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,6.9,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L041,54,4-10 years,Male,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,0.9,Under 1 minute,5,5,5,5,5,5,TRUE,TRUE
L042,416,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Estoy muy feliz al terminar mi curso de Emergente aquí aprendí a interactuar con los niños más, incluyendo más de 1 idioma, diferentes técnica y sobre todo cómo conectar con cada niño desde verbal y no verbal",Fue un reto y una bendición tomar este curso pero no le cambiaría nada fue perfecto y todo muy profesional,Minimal experience,Somewhat aware,Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Que me encanta y que en estos tiempos el IA ha evolucionado mucho,6.933333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L043,71,0-3 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,How was explaining,Yes,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,1.1833333333333331,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L044,182,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The most valuable part of the grading and feedback process was seeing what I got right and what I need to work on. The feedback helped me learn from my mistakes and do better on future assignments.,More specific feedback on areas that need improvement would help me learn from my mistakes and improve my work in future assignments.,Minimal experience,Somewhat aware,Somewhat agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,"AI has been helpful for learning and understanding course material. It helps me when I need clarification or extra support, but I still use my own knowledge and judgment when completing assignments.",3.033333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L045,63,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,Somewhat aware,Neither agree nor disagree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.05,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L046,106,20+ years,Female,41-50,Unsure,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,NA,NA,Some experience,Somewhat aware,Strongly disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.7666666666666666,1 to under 2 minutes,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L047,165,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I appreciated how the instructor gave feedback that praised my work along with giving new ideas on what I could do to improve my work.,"No changes, the grading and feedback process was very thorough and clear",No experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,I would utilize AI to a certain extent but not to replace human interaction completely.,2.75,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L048,292,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Excellent,Que me explicaran que realmente tenía que hacer en una actividad para lograr hacerla bien,NA,Minimal experience,"Yes, fully aware",Somewhat agree,Neither agree nor disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,4.866666666666666,Not flagged,5,5,4,5,4.75,4.666666666666667,FALSE,FALSE
L049,657,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback helped me understand my mistakes and improve my work before moving on to the next assignment.,Faster feedback and a few more examples would help me learn and improve more effectively.,Extensive experience,Somewhat aware,Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,"AI can be a helpful tool for learning and finding information, but instructor feedback is still important for understanding and improving my work.",10.95,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L050,161,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Neither agree nor disagree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,2.683333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L051,124,20+ years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Good,The valuable aspect about my grade is that the teacher was able to explain to me and also show me the corrections that I needed to correct and it was very helpful,NA,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,2.066666666666667,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L052,181,4-10 years,Female,41-50,"Yes, I did.",Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Good,I appreciated the detailed responses on my all of my assignments but I could definitely tell when it was an AI response .,My turn around time wasn’t the best which made it hard,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,3.0166666666666666,Not flagged,4,5,5,2,4,3.6666666666666665,FALSE,FALSE
L053,135,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I did struggle with one of the assignment assignments and Ruth very helpful to be able to reach out to the instructor for more clarification. I love that the Rubik’s are very detailed. It helps you ensure that you’re doing each assignment correctly the first time.,I like the greeting process I don’t think anything should be changed,No experience,"Yes, fully aware",Strongly agree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"AI can’t replace experienced instructors that have real world, classroom experience and firsthand experience",2.25,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L054,491,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Grading and feedback were precise and very helpful to me, and they were very useful for applying what I learned in the classroom where I work.",Everything was good on this training,No experience,Not aware at all,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,8.183333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L055,318,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The feedback highlighted both my strengths and areas for improvement, allowing me to better understand how effectively I implemented emergent literacy strategies. It provided guidance on ways to strengthen instruction, increase student engagement, and support children’s literacy development. This reflection process helped me grow professionally and gave me ideas that I can apply in future lessons and classroom activities.","While the feedback was helpful, examples of effective strategies or sample responses would provide additional clarity and help me better understand how to strengthen my practice. I would also appreciate opportunities for follow-up questions or discussion about the feedback so I can apply the suggestions more effectively in my classroom. Overall, the grading and feedback process was valuable and supported my professional growth.",Minimal experience,"Yes, fully aware",Strongly agree,Somewhat agree,I have no preference.,No,5.3,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L056,149,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,everything,na,No experience,"Yes, fully aware",Somewhat agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,no,2.4833333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L057,145,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The thoroughness of the response,I had no issues,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,It was a fine experience for me,2.4166666666666665,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L058,566,11-20 years,Female,50+,"No, I didn't.",Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Good,They explain well where I need to do on this assignment and I understand why I need be more specific on the assignment.,"I think the process at this time is well, no changes need it .",Minimal experience,Somewhat aware,Somewhat agree,Neither agree nor disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No at this time.,9.433333333333334,Not flagged,4,4,5,4,4.25,4.333333333333333,FALSE,FALSE
L059,231,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The teacher notes.,NA,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,3.85,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L060,132,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Somewhat agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.2,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L061,507,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,8.45,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L062,101,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Good,NA,NA,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.6833333333333331,1 to under 2 minutes,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L063,114,20+ years,Female,50+,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Good,NA,NA,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.9,1 to under 2 minutes,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
